UnidadFiscalizableId,SiglaInstrumento,NombreRegion,NombreRegionProyecto
187,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
187,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
187,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
187,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
187,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
187,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
187,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
187,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
189,RCA,Región Metropolitana,NA
190,RCA,Región Metropolitana,Región Metropolitana
190,RCA,Región Metropolitana,Región Metropolitana
191,RCA,Región Metropolitana,NA
193,RCA,Región Metropolitana,Región Metropolitana
195,RCA,Región Metropolitana,NA
196,RCA,Región Metropolitana,Región Metropolitana
196,RCA,Región Metropolitana,Región Metropolitana
196,RCA,Región Metropolitana,Región Metropolitana
197,RCA,NA,NA
197,RCA,Región Metropolitana,Región Metropolitana
197,RCA,Región Metropolitana,NA
198,RCA,Región Metropolitana,Región Metropolitana
199,RCA,Región Metropolitana,Región Metropolitana
200,RCA,Región Metropolitana,Región Metropolitana
201,RCA,Región Metropolitana,Región Metropolitana
202,RCA,Región Metropolitana,Región Metropolitana
202,RCA,Región Metropolitana,Región Metropolitana
203,RCA,Región Metropolitana,NA
204,RCA,Región Metropolitana,Región Metropolitana
204,RCA,Región Metropolitana,Región Metropolitana
205,RCA,Región Metropolitana,Región Metropolitana
205,RCA,Región Metropolitana,Región Metropolitana
205,RCA,Región Metropolitana,Región Metropolitana
205,RCA,Región Metropolitana,Región Metropolitana
205,PC,NA,NA
208,RCA,Región Metropolitana,Región Metropolitana
208,RCA,Región Metropolitana,Región Metropolitana
208,RCA,Región Metropolitana,Región Metropolitana
208,RCA,Región Metropolitana,Región Metropolitana
208,RCA,Región Metropolitana,Región Metropolitana
210,RCA,Región Metropolitana,Región Metropolitana
212,RCA,Interregional,Interregional
212,RCA,Región de Valparaíso,Región de Valparaíso
212,RCA,Región de Valparaíso,Región de Valparaíso
212,RCA,Región de Valparaíso,Región de Valparaíso
212,RCA,Interregional,Interregional
212,RCA,Región de Valparaíso,Región de Valparaíso
212,RCA,Región de Valparaíso,Región de Valparaíso
212,RCA,Región de Valparaíso,Región de Valparaíso
212,RCA,Región de Valparaíso,Región de Valparaíso
212,RCA,Región de Valparaíso,Región de Valparaíso
212,RCA,Región de Valparaíso,Región de Valparaíso
212,RCA,Interregional,Interregional
