UnidadFiscalizableId,RegionNombre,Latitud,Longitud,CategoriaEconomicaNombre
300,Región de Tarapacá,-20.250493,-69.785705,Equipamiento
301,Región de Tarapacá,-20.2648895,-70.0790515,Equipamiento
302,Región de Tarapacá,NA,NA,Equipamiento
303,Región de Tarapacá,NA,NA,NA
304,Región de Arica y Parinacota,-18.2248,-69.3378,Saneamiento Ambiental
305,Región de Arica y Parinacota,-18.202316,-69.268107,Energía
306,Región de Tarapacá,-20.309459,-70.139107,Pesca y Acuicultura
307,Región de Arica y Parinacota,-18.3947,-70.2945,Pesca y Acuicultura
308,Región de Tarapacá,-20.293932,-70.121651,Instalación fabril
309,Región de Tarapacá,-20.307898,-69.631406,Pesca y Acuicultura
310,Región de Tarapacá,-20.260254,-69.781148,Vivienda e Inmobiliarios
311,Región de Tarapacá,-20.245858,-69.7866005,Otras categorías
312,Región de Tarapacá,-20.333584,-69.666524,Otras categorías
313,Región de Tarapacá,-20.817173,-69.693189,Energía
314,Región de Tarapacá,-20.360388,-69.641306,Saneamiento Ambiental
315,Región de Tarapacá,-20.454266,-70.157628,Equipamiento
316,Región de Tarapacá,-21.112897,-70.118719,Pesca y Acuicultura
317,Región de Tarapacá,-20.200169,-70.139315,Transportes y almacenajes
318,Región de Tarapacá,-20.945953,-69.9992385,Minería
319,Región de Tarapacá,-20.98964267,-68.70660567,Energía
320,Región de Tarapacá,NA,NA,Instalación fabril
321,Región de Tarapacá,-20.281958,-70.090502,Instalación fabril
322,Región de Tarapacá,-20.88531175,-70.14548375,Pesca y Acuicultura
323,Región de Tarapacá,-20.967707,-69.678182,Instalación fabril
324,Región de Tarapacá,-20.84793875,-69.259577,Minería
325,Región de Tarapacá,-20.510285,-69.379563,Saneamiento Ambiental
326,Región de Tarapacá,NA,NA,Transportes y almacenajes
327,Región de Tarapacá,-20.82128,-70.03466278,Infraestructura Portuaria
328,Región de Arica y Parinacota,-18.449028,-69.880827,Equipamiento
329,Región de Tarapacá,-20.486113,-70.160369,Pesca y Acuicultura
330,Región de Tarapacá,-20.288602,-70.127158,Equipamiento
331,Región de Arica y Parinacota,-18.4489911,-69.1042813,Minería
332,Región de Tarapacá,-19.641582,-69.276297,Minería
333,Región de Tarapacá,-20.213696,-70.148889,Equipamiento
334,Región de Tarapacá,-20.3030685,-70.135283,Pesca y Acuicultura
335,Región de Tarapacá,-20.48694967,-70.17171167,Pesca y Acuicultura
336,Región de Tarapacá,-20.239169,-70.053338,Otras categorías
337,Región de Tarapacá,-20.342209,-68.978003,Minería
338,Región de Tarapacá,-20.507209,-69.351484,Equipamiento
339,Región de Tarapacá,-20.27731,-70.098503,Vivienda e Inmobiliarios
340,Región de Tarapacá,-20.27699033,-70.102829,Vivienda e Inmobiliarios
341,Región de Tarapacá,-20.278109,-70.100625,Vivienda e Inmobiliarios
342,Región de Tarapacá,-20.2884855,-70.1035905,Vivienda e Inmobiliarios
343,Región de Tarapacá,-20.277598,-70.09863,Vivienda e Inmobiliarios
344,Región de Tarapacá,-20.8059,-70.1932,Energía
345,Región de Tarapacá,-20.28023267,-70.09388967,Equipamiento
346,Región de Tarapacá,-19.665888,-70.170506,Infraestructura Hidráulica
347,Región de Tarapacá,-20.726636,-70.18135,Infraestructura Portuaria
348,Región de Tarapacá,-20.248202,-70.055227,Transportes y almacenajes
349,Región de Tarapacá,-19.998958,-69.765647,Otras categorías
350,Región de Tarapacá,-19.275792,-68.621731,Equipamiento
351,Región de Tarapacá,-20.0969675,-69.4014745,Infraestructura de Transporte
352,Región de Tarapacá,-20.925867,-69.050615,Saneamiento Ambiental
353,Región de Tarapacá,-21.114524,-70.124133,Infraestructura Hidráulica
354,Región de Tarapacá,-20.234474,-70.150708,Infraestructura Hidráulica
355,Región de Tarapacá,-20.699802,-70.18817,Saneamiento Ambiental
356,Región de Tarapacá,-19.864201,-69.377075,Saneamiento Ambiental
357,Región de Tarapacá,-19.53794,-69.205486,Saneamiento Ambiental
358,Región de Tarapacá,-19.557641,-69.242072,Saneamiento Ambiental
359,Región de Tarapacá,-20.211117,-70.153637,Infraestructura Hidráulica
360,Región de Arica y Parinacota,-18.34933276,-70.33570961,Infraestructura de Transporte
361,Región de Arica y Parinacota,-18.3873,-69.5437,Saneamiento Ambiental
362,Región de Arica y Parinacota,-19.01040517,-69.85993372,Saneamiento Ambiental
363,Región de Arica y Parinacota,-17.595295,-69.480225,Saneamiento Ambiental
364,Región de Arica y Parinacota,-17.907343,-69.705109,Saneamiento Ambiental
365,Región de Tarapacá,-20.320691,-69.754966,Infraestructura de Transporte
366,Región de Tarapacá,-19.280506,-68.676586,Infraestructura de Transporte
367,Región de Tarapacá,-19.501504,-68.71546,Infraestructura de Transporte
368,Región de Tarapacá,-20.210596,-69.835584,Infraestructura de Transporte
369,Región de Tarapacá,-20.535559,-70.176759,Infraestructura de Transporte
370,Región de Tarapacá,-20.20698443,-70.15670057,Infraestructura Portuaria
371,Región de Tarapacá,-19.620642,-69.489135,Minería
372,Región de Tarapacá,-20.894231,-68.944088,Minería
373,Región de Tarapacá,-19.59627,-70.208701,Saneamiento Ambiental
374,Región de Tarapacá,-20.2786346,-70.0887858,Saneamiento Ambiental
375,Región de Tarapacá,-20.251852,-70.0840545,Infraestructura de Transporte
376,Región de Tarapacá,-20.49717,-69.33768,Pesca y Acuicultura
377,Región de Tarapacá,-20.289754,-70.119467,Equipamiento
378,Región de Tarapacá,-21.428047,-70.055368,Otras categorías
379,Región de Aysén del General Carlos Ibañez del Campo,-45.55765373,-72.0261392,Otras categorías
380,Región de Tarapacá,-20.837103,-69.698211,Minería
381,Región de Tarapacá,-20.271098,-70.131876,Pesca y Acuicultura
382,Región de Tarapacá,-20.207235,-70.155925,Infraestructura Portuaria
383,Región de Tarapacá,-20.07364073,-69.28953482,Minería
384,Región de Tarapacá,-20.206528,-70.142415,Instalación fabril
385,Región de Tarapacá,-20.5074415,-69.269066,Saneamiento Ambiental
386,Región de Arica y Parinacota,NA,NA,Equipamiento
387,Región de Tarapacá,-19.598068,-70.215407,Vivienda e Inmobiliarios
388,Región de Tarapacá,-20.492605,-69.333863,Vivienda e Inmobiliarios
389,Región de Tarapacá,-20.284435,-68.892593,Otras categorías
390,Región de Tarapacá,-20.492006,-69.330505,Otras categorías
391,Región de Tarapacá,-20.485543,-69.31697,Equipamiento
392,Región de Tarapacá,-20.90107958,-69.67007458,Minería
393,Región de Tarapacá,-20.307225,-70.125415,Minería
